filename,config_id,supercell,ehull_ref,ehull_doped,ehull_diff,actual_concentration_pct,n_dopant_atoms
LFP_Fe=Ti_conc17_n3_c2_2x2x1.poscar,LFP_Fe=Ti_conc17_n3_c2_2x2x1,2x2x1,2.639068,2.846361,0.20729299999999995,18.75,3
LFP_Fe=Ti_conc17_n3_c3_2x2x1.poscar,LFP_Fe=Ti_conc17_n3_c3_2x2x1,2x2x1,2.639068,2.832247,0.1931790000000002,18.75,3
LFP_Fe=Ti_conc18_n3_c1_2x2x1.poscar,LFP_Fe=Ti_conc18_n3_c1_2x2x1,2x2x1,2.639068,2.851979,0.21291100000000007,18.75,3
LFP_Fe=Ti_conc18_n3_c2_2x2x1.poscar,LFP_Fe=Ti_conc18_n3_c2_2x2x1,2x2x1,2.639068,2.833339,0.19427100000000008,18.75,3
LFP_Fe=Ti_conc18_n3_c3_2x2x1.poscar,LFP_Fe=Ti_conc18_n3_c3_2x2x1,2x2x1,2.639068,2.860356,0.22128799999999993,18.75,3
LFP_Fe=Ti_conc19_n3_c1_2x2x1.poscar,LFP_Fe=Ti_conc19_n3_c1_2x2x1,2x2x1,2.639068,2.820544,0.18147599999999997,18.75,3
LFP_Fe=Ti_conc19_n3_c2_2x2x1.poscar,LFP_Fe=Ti_conc19_n3_c2_2x2x1,2x2x1,2.639068,2.863975,0.22490699999999997,18.75,3
LFP_Fe=Ti_conc19_n3_c3_2x2x1.poscar,LFP_Fe=Ti_conc19_n3_c3_2x2x1,2x2x1,2.639068,2.847387,0.20831899999999992,18.75,3
LFP_Fe=Ti_conc20_n3_c1_2x2x1.poscar,LFP_Fe=Ti_conc20_n3_c1_2x2x1,2x2x1,2.639068,2.868551,0.2294830000000001,18.75,3
LFP_Fe=Ti_conc20_n3_c2_2x2x1.poscar,LFP_Fe=Ti_conc20_n3_c2_2x2x1,2x2x1,2.639068,2.859715,0.22064700000000004,18.75,3
LFP_Fe=Ti_conc20_n3_c3_2x2x1.poscar,LFP_Fe=Ti_conc20_n3_c3_2x2x1,2x2x1,2.639068,2.860413,0.2213449999999999,18.75,3
